YEAR,TOTAL_POP,GEOLEV2,EDU_LESS_PRIM_POP,EDU_PRIM_POP,EDU_SEC_POP,EDU_UNI_POP,EDU_UK_POP,EDU_LESS_PRIM_PCT,EDU_PRIM_PCT,EDU_SEC_PCT,EDU_UNI_PCT,EDU_UK_PCT
2010,111960139,484015030,5983,11179,4072,1149,145,26.56,49.62,18.08,5.1,0.64
2010,111960139,484015031,17115,11742,1370,346,253,55.52,38.09,4.44,1.12,0.82
2010,111960139,484015032,3254,3776,788,122,28,40.84,47.39,9.89,1.53,0.35
2010,111960139,484015033,31493,45132,13656,2149,608,33.85,48.51,14.68,2.31,0.65
2010,111960139,484015034,13846,18848,3043,577,235,37.88,51.57,8.33,1.58,0.64
2010,111960139,484015035,60579,91677,46319,28351,3054,26.34,39.86,20.14,12.33,1.33
2010,111960139,484015036,3229,4450,989,198,32,36.29,50.01,11.11,2.23,0.36
2010,111960139,484015037,125391,211823,83975,18858,3133,28.29,47.8,18.95,4.26,0.71
2010,111960139,484015038,14167,13735,2929,1141,108,44.16,42.81,9.13,3.56,0.34
2010,111960139,484015039,3430,2550,224,42,38,54.58,40.58,3.56,0.67,0.6
2010,111960139,484015040,53534,61302,12732,5009,840,40.13,45.95,9.54,3.75,0.63
2010,111960139,484015041,9184,12856,2320,759,224,36.24,50.73,9.15,2.99,0.88
2010,111960139,484015042,8589,16108,6474,1535,525,25.85,48.47,19.48,4.62,1.58
2010,111960139,484015043,34480,35109,6521,1952,776,43.74,44.53,8.27,2.48,0.98
2010,111960139,484015044,5369,8779,1691,361,156,32.83,53.67,10.34,2.21,0.95
2010,111960139,484015045,28332,29069,4931,1312,489,44.18,45.33,7.69,2.05,0.76
2010,111960139,484015046,19821,26896,6975,3374,338,34.53,46.85,12.15,5.88,0.59
2010,111960139,484015047,4519,5717,1316,183,30,38.41,48.59,11.19,1.56,0.25
2010,111960139,484015048,8132,10982,2583,531,53,36.5,49.29,11.59,2.38,0.24
2010,111960139,484015049,41141,59307,17806,6059,1830,32.61,47.02,14.12,4.8,1.45
2010,111960139,484015050,11470,11082,1782,536,110,45.92,44.36,7.13,2.15,0.44
2010,111960139,484015051,13138,21412,8300,2681,1001,28.23,46.02,17.84,5.76,2.15
2010,111960139,484015052,44972,67851,49138,42600,1225,21.85,32.97,23.88,20.7,0.6
2010,111960139,484015053,2436,4329,1489,458,60,27.77,49.35,16.97,5.22,0.68
2010,111960139,484015054,11473,12537,1554,459,321,43.55,47.59,5.9,1.74,1.22
2010,111960139,484015055,209771,352779,136747,78622,9054,26.66,44.83,17.38,9.99,1.15
2010,111960139,484015056,12558,15711,3318,810,125,38.61,48.31,10.2,2.49,0.38
2010,111960139,484015057,104991,166847,54876,17154,2466,30.31,48.18,15.84,4.95,0.71
2010,111960139,484015058,2951,3797,987,271,9,36.82,47.37,12.31,3.38,0.11
2010,111960139,484015059,17733,26845,9660,3002,403,30.76,46.57,16.76,5.21,0.7
2010,111960139,484015060,13018,13024,2024,330,133,45.63,45.65,7.09,1.16,0.47
2010,111960139,484015061,12833,14916,2308,525,60,41.88,48.68,7.53,1.71,0.2
2010,111960139,484015062,11145,15330,3979,1201,41,35.16,48.37,12.55,3.79,0.13
2010,111960139,484015063,2248,1947,258,40,26,49.75,43.08,5.71,0.89,0.58
2010,111960139,484015064,28784,35791,7064,1553,1644,38.46,47.83,9.44,2.08,2.2
2010,111960139,484015065,8597,13211,3262,996,94,32.86,50.5,12.47,3.81,0.36
2010,111960139,484015066,1056,1710,790,243,99,27.09,43.87,20.27,6.23,2.54
2010,111960139,484015067,70053,122988,34765,11074,1051,29.2,51.26,14.49,4.62,0.44
2010,111960139,484015068,4388,5720,1169,377,133,37.23,48.53,9.92,3.2,1.13
2010,111960139,484015069,3817,5308,1896,422,66,33.17,46.12,16.47,3.67,0.57
2010,111960139,484015070,6977,10110,2518,650,136,34.22,49.58,12.35,3.19,0.67
2010,111960139,484015071,104901,78355,6970,2649,1296,54.03,40.35,3.59,1.36,0.67
2010,111960139,484015072,7522,11493,3295,875,193,32.18,49.16,14.09,3.74,0.83
2010,111960139,484015073,20411,32396,10177,3554,677,30.37,48.2,15.14,5.29,1.01
2010,111960139,484015074,2782,2496,398,204,12,47.22,42.36,6.75,3.46,0.2
2010,111960139,484015075,4092,4245,771,174,45,43.87,45.51,8.27,1.87,0.48
2010,111960139,484015076,4437,5299,979,265,55,40.21,48.02,8.87,2.4,0.5
2010,111960139,484015077,12534,9286,840,325,146,54.19,40.15,3.63,1.41,0.63
2010,111960139,484015078,94046,153731,69449,22090,5168,27.3,44.63,20.16,6.41,1.5
2010,111960139,484015079,46925,36597,5380,2294,391,51.24,39.96,5.87,2.5,0.43
2010,111960139,484015080,3191,4838,1509,293,60,32.26,48.91,15.26,2.96,0.61
2010,111960139,484015081,12085,16206,3253,478,247,37.45,50.22,10.08,1.48,0.77
2010,111960139,484015082,29990,24085,3554,1018,230,50.94,40.91,6.04,1.73,0.39
2010,111960139,484015083,13353,14069,1656,751,183,44.49,46.88,5.52,2.5,0.61
2010,111960139,484015084,38437,38276,6221,1247,500,45.39,45.2,7.35,1.47,0.59
2010,111960139,484015085,31419,39787,8865,3042,547,37.56,47.56,10.6,3.64,0.65
2010,111960139,484015086,3245,5170,1582,251,84,31.41,50.04,15.31,2.43,0.81
2010,111960139,484015087,24797,34249,8916,2534,859,34.75,48.0,12.5,3.55,1.2
2010,111960139,484015088,17782,28616,9670,2381,963,29.93,48.17,16.28,4.01,1.62
2010,111960139,484015089,15236,23289,8236,2539,516,30.58,46.75,16.53,5.1,1.04
2010,111960139,484015090,7684,12674,3818,860,385,30.23,49.86,15.02,3.38,1.51
2010,111960139,484015091,5973,8327,2058,506,90,35.23,49.12,12.14,2.98,0.53
2010,111960139,484015092,11377,16481,3972,833,229,34.59,50.11,12.08,2.53,0.7
2010,111960139,484015093,6811,6708,1142,330,51,45.28,44.6,7.59,2.19,0.34
2010,111960139,484015094,1538,2311,709,191,58,32.0,48.08,14.75,3.97,1.21
2010,111960139,484015095,10680,17010,4964,1022,311,31.42,50.05,14.61,3.01,0.92
2010,111960139,484015096,22114,31455,8486,2576,322,34.05,48.43,13.06,3.97,0.5
2010,111960139,484015097,5597,6361,1119,257,46,41.83,47.54,8.36,1.92,0.34
2010,111960139,484015098,11135,20430,8697,2466,295,25.88,47.49,20.21,5.73,0.69
2010,111960139,484015099,16167,13683,1681,793,145,49.79,42.14,5.18,2.44,0.45
2010,111960139,484015100,217322,321861,135983,94920,3873,28.08,41.59,17.57,12.26,0.5
2010,111960139,484015101,5086,4999,1097,464,28,43.57,42.82,9.4,3.97,0.24
2010,111960139,484015102,26869,41828,13173,4146,785,30.95,48.19,15.18,4.78,0.9
2010,111960139,484015103,23675,24960,6031,1814,260,41.73,43.99,10.63,3.2,0.46
2010,111960139,484015104,23773,19621,1227,231,78,52.91,43.67,2.73,0.51,0.17
2010,111960139,484015105,17203,18856,2713,833,427,42.97,47.1,6.78,2.08,1.07
2010,111960139,484015106,26627,26087,2592,1136,247,46.97,46.02,4.57,2.0,0.44
2010,111960139,484015107,44601,37553,3870,1075,913,50.68,42.67,4.4,1.22,1.04
2010,111960139,484015108,14451,19999,6168,1995,284,33.69,46.62,14.38,4.65,0.66
2010,111960139,484015109,1761,1492,326,114,30,47.3,40.08,8.76,3.06,0.81
2010,111960139,484015110,7781,6159,705,223,36,52.21,41.32,4.73,1.5,0.24
2010,111960139,484015111,59458,74885,15157,4897,1098,38.24,48.16,9.75,3.15,0.71
2010,111960139,484015112,8319,6498,436,168,112,53.56,41.83,2.81,1.08,0.72
2010,111960139,484015113,49952,68081,22434,7144,1340,33.54,45.71,15.06,4.8,0.9
2010,111960139,484016001,4130,4406,434,182,30,44.98,47.99,4.73,1.98,0.33
2010,111960139,484016002,8335,5445,585,250,150,56.45,36.88,3.96,1.69,1.02
2010,111960139,484016003,9387,8367,920,258,178,49.12,43.78,4.81,1.35,0.93
2010,111960139,484016004,51562,42521,6254,2358,497,49.97,41.21,6.06,2.29,0.48
2010,111960139,484016005,4298,5305,1434,383,40,37.5,46.29,12.51,3.34,0.35
2010,111960139,484016006,53210,47761,10757,2912,1407,45.85,41.16,9.27,2.51,1.21
2010,111960139,484016007,1297,1334,207,69,14,44.4,45.67,7.09,2.36,0.48
2010,111960139,484016008,11723,7657,1212,293,244,55.48,36.24,5.74,1.39,1.15
2010,111960139,484016009,15867,15065,1640,448,320,47.59,45.19,4.92,1.34,0.96
2010,111960139,484016010,11024,7550,2006,284,514,51.57,35.32,9.38,1.33,2.4
2010,111960139,484016011,4890,4896,1062,212,60,43.97,44.03,9.55,1.91,0.54
2010,111960139,484016012,21695,15389,2540,393,244,53.89,38.22,6.31,0.98,0.61
2010,111960139,484016013,4914,2937,402,123,24,58.5,34.96,4.79,1.46,0.29
2010,111960139,484016014,6120,5233,1024,168,200,48.02,41.06,8.03,1.32,1.57
2010,111960139,484016015,9071,6497,990,347,260,52.85,37.85,5.77,2.02,1.51
2010,111960139,484016016,10291,8573,1180,266,188,50.2,41.82,5.76,1.3,0.92
2010,111960139,484016017,24344,20187,1639,293,297,52.06,43.17,3.51,0.63,0.64
2010,111960139,484016018,3947,4261,394,91,44,45.18,48.77,4.51,1.04,0.5
2010,111960139,484016019,8960,7436,1332,252,184,49.33,40.94,7.33,1.39,1.01
2010,111960139,484016020,13254,10559,1500,257,231,51.37,40.92,5.81,1.0,0.9
2010,111960139,484016021,5383,4171,750,190,54,51.03,39.54,7.11,1.8,0.51
2010,111960139,484016022,8321,8912,1478,283,172,43.42,46.5,7.71,1.48,0.9
2010,111960139,484016023,4576,3677,378,104,71,51.96,41.76,4.29,1.18,0.81
2010,111960139,484016024,7323,6797,1630,850,196,43.6,40.47,9.7,5.06,1.17
2010,111960139,484016025,15167,14947,3245,936,268,43.88,43.25,9.39,2.71,0.78
2010,111960139,484016026,3111,2342,169,50,66,54.22,40.82,2.95,0.87,1.15
2010,111960139,484016027,2358,1761,173,44,34,53.96,40.3,3.96,1.01,0.78
2010,111960139,484016028,2050,1882,312,96,42,46.78,42.95,7.12,2.19,0.96
2010,111960139,484016029,7380,5413,834,101,245,52.82,38.74,5.97,0.72,1.75
2010,111960139,484016030,6633,4637,723,164,55,54.32,37.97,5.92,1.34,0.45
2010,111960139,484016031,6586,5724,1151,319,83,47.51,41.29,8.3,2.3,0.6
2010,111960139,484016032,9468,7550,1236,290,112,50.75,40.47,6.63,1.55,0.6
2010,111960139,484016033,51845,45292,9436,3513,580,46.85,40.93,8.53,3.17,0.52
2010,111960139,484016034,15688,12157,1919,437,493,51.11,39.61,6.25,1.42,1.61
2010,111960139,484016035,5564,4636,957,345,92,47.99,39.99,8.25,2.98,0.79
2010,111960139,484016036,3804,2956,285,62,49,53.16,41.31,3.98,0.87,0.68
2010,111960139,484016037,19932,15033,3423,881,516,50.1,37.79,8.6,2.21,1.3
2010,111960139,484016038,3148,3476,570,94,58,42.85,47.32,7.76,1.28,0.79
2010,111960139,484016039,6988,6543,824,190,66,47.83,44.78,5.64,1.3,0.45
2010,111960139,484016040,6179,5569,954,184,67,47.7,42.99,7.37,1.42,0.52
2010,111960139,484016041,6581,5518,599,133,73,51.0,42.76,4.64,1.03,0.57
2010,111960139,484016042,28523,23248,4869,1149,566,48.88,39.84,8.34,1.97,0.97
2010,111960139,484016043,5958,4964,736,276,44,49.74,41.44,6.14,2.3,0.37
2010,111960139,484016044,17217,20940,5348,1869,504,37.53,45.64,11.66,4.07,1.1
2010,111960139,484016045,6214,5431,871,164,225,48.15,42.08,6.75,1.27,1.74
2010,111960139,484016046,9901,8305,1070,293,150,50.21,42.12,5.43,1.49,0.76
2010,111960139,484016047,3186,2796,434,80,42,48.73,42.77,6.64,1.22,0.64
2010,111960139,484016048,9461,6801,651,72,46,55.55,39.93,3.82,0.42,0.27
2010,111960139,484016049,37194,31159,5126,1658,458,49.2,41.22,6.78,2.19,0.61
2010,111960139,484016050,58428,71920,27989,7544,2526,34.69,42.71,16.62,4.48,1.5
2010,111960139,484016051,207999,281794,111255,82950,5625,30.16,40.86,16.13,12.03,0.82
2010,111960139,484016052,3693,3039,414,126,18,50.66,41.69,5.68,1.73,0.25
2010,111960139,484016053,20886,17256,3924,530,900,48.02,39.67,9.02,1.22,2.07
2010,111960139,484016054,12239,11086,1470,323,405,47.95,43.44,5.76,1.27,1.59
2010,111960139,484016055,4897,3145,351,120,72,57.04,36.63,4.09,1.4,0.84
2010,111960139,484016056,8190,8430,1089,358,100,45.08,46.4,5.99,1.97,0.55
2010,111960139,484016057,4485,3582,489,60,30,51.87,41.43,5.66,0.69,0.35
2010,111960139,484016058,4490,3897,712,198,106,47.75,41.44,7.57,2.11,1.13
2010,111960139,484016059,11033,9325,1098,228,148,50.54,42.71,5.03,1.04,0.68
2010,111960139,484016060,9240,7313,817,265,65,52.2,41.32,4.62,1.5,0.37
