GEOLEV2,ABOVE_POVERTY_POP,BELOW_POVERTY_POP,ABOVE_POVERTY_PCT,BELOW_POVERTY_PCT
484011030,14358,59425,19.46,80.54
484011031,35917,47903,42.85,57.15
484011032,17497,34534,33.63,66.37
484011033,20198,60968,24.88,75.12
484011034,548,3089,15.07,84.93
484011035,10830,47465,18.58,81.42
484011036,724,4178,14.77,85.23
484011037,36184,86790,29.42,70.58
484011038,1089,6579,14.2,85.8
484011039,4695,21394,18.0,82.0
484011040,2162,10220,17.46,82.54
484011041,14685,31752,31.62,68.38
484011042,18890,84173,18.33,81.67
484011043,2341,11682,16.69,83.31
484011044,11191,27911,28.62,71.38
484011045,838,8186,9.29,90.71
484011046,10976,42612,20.48,79.52
484012001,206249,379335,35.22,64.78
484012002,593,16071,3.56,96.44
484012003,2791,25232,9.96,90.04
484012004,456,11482,3.82,96.18
484012005,630,4455,12.39,87.61
484012006,1316,8411,13.53,86.47
484012007,4655,18961,19.71,80.29
484012008,588,4394,11.8,88.2
484012009,152,3632,4.02,95.98
484012010,530,16243,3.16,96.84
484012011,7359,38175,16.16,83.84
484012012,2847,36615,7.21,92.79
484012013,3092,20575,13.06,86.94
484012014,2632,8053,24.63,75.37
484012015,2296,7329,23.85,76.15
484012016,472,9316,4.82,95.18
484012017,1627,9713,14.35,85.65
484012018,1874,8519,18.03,81.97
484012019,543,9249,5.55,94.45
484012020,733,11137,6.18,93.82
484012021,9006,44342,16.88,83.12
484012022,3412,28197,10.79,89.21
484012023,3490,15388,18.49,81.51
484012024,377,5208,6.75,93.25
484012025,778,9162,7.83,92.17
484012026,457,6091,6.98,93.02
484012027,1496,14466,9.37,90.63
484012028,10822,79126,12.03,87.97
484012029,60243,115152,34.35,65.65
484012030,2131,12208,14.86,85.14
484012031,208,5300,3.78,96.22
484012032,1115,22550,4.71,95.29
484012033,1133,9106,11.07,88.93
484012034,4339,23593,15.53,84.47
484012035,35001,69195,33.59,66.41
484012036,772,6744,10.27,89.73
484012037,573,3812,13.07,86.93
484012038,36730,69709,34.51,65.49
484012039,2811,15680,15.2,84.8
484012040,1386,16784,7.63,92.37
484012041,1455,23948,5.73,94.27
484012042,1226,10475,10.48,89.52
484012043,350,21912,1.57,98.43
484012044,1125,7062,13.74,86.26
484012045,870,15569,5.29,94.71
484012046,7610,35719,17.56,82.44
484012047,129,4917,2.56,97.44
484012048,7671,23996,24.22,75.78
484012049,1298,6653,16.32,83.68
484012050,7602,19133,28.43,71.57
484012051,2186,21445,9.25,90.75
484012052,3014,25962,10.4,89.6
484012053,4194,29572,12.42,87.58
484012054,885,18208,4.64,95.36
484012055,19845,59056,25.15,74.85
484012056,2512,28764,8.03,91.97
484012057,9797,35690,21.54,78.46
484012058,6206,34258,15.34,84.66
484012059,3876,18286,17.49,82.51
484012060,679,9215,6.86,93.14
484012061,6311,22898,21.61,78.39
484012062,817,12552,6.11,93.89
484012063,283,6131,4.41,95.59
484012064,1224,7772,13.61,86.39
484012065,415,4900,7.81,92.19
484012066,10785,43323,19.93,80.07
484012067,3098,14428,17.68,82.32
484012068,298,7981,3.6,96.4
484012069,322,4684,6.43,93.57
484012070,1558,17314,8.26,91.74
484012071,676,26008,2.53,97.47
484012072,1256,13226,8.67,91.33
484012073,847,14349,5.57,94.43
484012074,7971,24239,24.75,75.25
484013001,3362,10151,24.88,75.12
484013002,5817,21699,21.14,78.86
484013003,14046,28453,33.05,66.95
484013004,1149,5325,17.75,82.25
484013005,3547,10046,26.09,73.91
484013006,1827,12572,12.69,87.31
484013007,1389,6795,16.97,83.03
484013008,7070,24633,22.3,77.7
484013009,3082,9408,24.68,75.32
484013010,7311,14054,34.22,65.78
484013011,1374,12335,10.02,89.98
484013012,4249,16367,20.61,79.39
484013013,7454,15076,33.08,66.92
484013014,695,11385,5.75,94.25
484013015,2297,12470,15.55,84.45
484013016,8362,30986,21.25,78.75
484013017,1228,8132,13.12,86.88
484013018,1933,15137,11.32,88.68
484013019,7034,23125,23.32,76.68
484013020,143,2071,6.46,93.54
484013021,2400,7192,25.02,74.98
484013022,3337,6894,32.62,67.38
484013023,7227,19767,26.77,73.23
484013024,2245,10337,17.84,82.16
484013025,1272,16393,7.2,92.8
484013026,526,7950,6.21,93.79
484013027,1192,16219,6.85,93.15
484013028,16650,72837,18.61,81.39
484013029,8050,25567,23.95,76.05
484013030,14688,46659,23.94,76.06
484013031,1328,8463,13.56,86.44
484013032,739,7265,9.23,90.77
484013033,209,2194,8.7,91.3
484013034,751,6494,10.37,89.63
484013035,1911,6640,22.35,77.65
484013036,990,5964,14.24,85.76
484013037,1817,14211,11.34,88.66
484013038,1516,4186,26.59,73.41
484013039,3688,7766,32.2,67.8
484013040,396,7288,5.15,94.85
484013041,8658,23344,27.05,72.95
484013042,1220,6454,15.9,84.1
484013043,351,5513,5.99,94.01
484013044,2398,10122,19.15,80.85
484013045,1292,4590,21.97,78.03
484013046,2048,24398,7.74,92.26
484013047,459,4099,10.07,89.93
484013048,83895,123228,40.5,59.5
484013049,693,12432,5.28,94.72
484013050,38828,52152,42.68,57.32
484013051,7949,16686,32.27,67.73
484013052,1879,10998,14.59,85.41
484013053,6107,18297,25.02,74.98
484013054,1671,10536,13.69,86.31
484013055,9010,16667,35.09,64.91
484013056,2073,8313,19.96,80.04
484013057,2255,11048,16.95,83.05
484013058,4078,21039,16.24,83.76
484013059,1789,10505,14.55,85.45
484013060,10472,28778,26.68,73.32
484013061,962,19627,4.67,95.33
484013062,21912,40144,35.31,64.69
484013063,1561,6366,19.69,80.31
484013064,5349,15595,25.54,74.46
484013065,2489,5491,31.19,68.81
484013066,9215,26504,25.8,74.2
484013067,722,9771,6.88,93.12
484013068,25878,42403,37.9,62.1
484013069,528,7336,6.71,93.29
484013070,1815,5826,23.75,76.25
484013071,1935,21922,8.11,91.89
484013072,5656,13108,30.14,69.86
484013073,3158,6574,32.45,67.55
484013074,25163,53467,32.0,68.0
484013075,36049,74251,32.68,67.32
484013076,560,12512,4.28,95.72
484013077,357,5009,6.65,93.35
484013078,492,16270,2.94,97.06
484013079,7140,17722,28.72,71.28
484013080,4514,10222,30.63,69.37
484013081,8078,21467,27.34,72.66
484013082,5617,22429,20.03,79.97
484014001,5318,9807,35.16,64.84
484014002,5172,9888,34.34,65.66
484014003,4498,10776,29.45,70.55
484014004,1350,3430,28.24,71.76
484014005,3491,6733,34.15,65.85
484014006,12120,31089,28.05,71.95
484014007,1624,5415,23.07,76.93
484014008,21460,42050,33.79,66.21
484014009,4430,7805,36.21,63.79
484014010,1214,3776,24.33,75.67
484014011,704,4092,14.68,85.32
484014012,1024,3060,25.07,74.93
484014013,12720,28720,30.69,69.31
484014014,1389,4812,22.4,77.6
484014015,15682,27713,36.14,63.86
484014016,6879,20049,25.55,74.45
484014017,2114,7636,21.68,78.32
484014018,15750,32118,32.9,67.1
484014019,651,3872,14.39,85.61
484014020,1557,5553,21.9,78.1
484014021,4520,11457,28.29,71.71
484014022,9440,17352,35.23,64.77
484014023,29884,45495,39.64,60.36
484014024,5677,14405,28.27,71.73
484014025,3578,11113,24.36,75.64
484014026,1292,3245,28.48,71.52
484014027,2092,9660,17.8,82.2
484014028,353,1329,20.99,79.01
484014029,1775,10665,14.27,85.73
484014030,13221,22326,37.19,62.81
484014031,297,2333,11.29,88.71
484014032,628,3583,14.91,85.09
484014033,3359,12745,20.86,79.14
484014034,342,1280,21.09,78.91
484014035,11353,26413,30.06,69.94
484014036,3773,9162,29.17,70.83
484014037,5859,11022,34.71,65.29
484014038,314,1904,14.16,85.84
484014039,474799,641521,42.53,57.47
484014040,1245,6018,17.14,82.86
484014041,816,4562,15.17,84.83
484014042,1273,5178,19.73,80.27
484014043,4885,11445,29.91,70.09
484014044,12193,17953,40.45,59.55
484014045,2117,10410,16.9,83.1
484014046,7054,15001,31.98,68.02
484014047,5165,12985,28.46,71.54
484014048,3255,9673,25.18,74.82
484014049,1562,4877,24.26,75.74
484014050,11455,19319,37.22,62.78
484014051,3764,6229,37.67,62.33
484014052,938,3502,21.13,78.87
484014053,37733,72905,34.1,65.9
484014054,1058,3174,25.0,75.0
484014055,5084,11645,30.39,69.61
484014056,201,1694,10.61,89.39
484014057,776,2168,26.36,73.64
484014058,2934,7190,28.98,71.02
484014059,3315,6884,32.5,67.5
484014060,896,3664,19.65,80.35
484014061,1322,9907,11.77,88.23
484014062,487,2278,17.61,82.39
484014063,25541,42898,37.32,62.68
484014064,4420,16228,21.41,78.59
484014065,2328,7164,24.53,75.47
484014066,9631,23663,28.93,71.07
484014067,75966,101803,42.73,57.27
484014068,1713,7089,19.46,80.54
484014069,978,5934,14.15,85.85
484014070,37702,56029,40.22,59.78
484014071,368,1995,15.57,84.43
484014072,1434,3460,29.3,70.7
484014073,16812,30312,35.68,64.32
484014074,2842,7499,27.48,72.52
484014075,652,2149,23.28,76.72
484014076,493,2043,19.44,80.56
484014077,5320,14653,26.64,73.36
484014078,8101,15485,34.35,65.65
484014079,3364,7995,29.62,70.38
484014080,1002,3986,20.09,79.91
484014081,351,2509,12.27,87.73
484014082,9214,15519,37.25,62.75
484014083,14341,36409,28.26,71.74
484014084,2375,8515,21.81,78.19
484014085,9964,18750,34.7,65.3
484014086,4408,8310,34.66,65.34
484014087,3546,9374,27.45,72.55
484014088,3156,9413,25.11,74.89
484014089,742,1872,28.39,71.61
484014090,1290,3760,25.54,74.46
484014091,8048,21766,26.99,73.01
484014092,1362,7015,16.26,83.74
484014093,39009,59128,39.75,60.25
484014094,9093,18265,33.24,66.76
484014095,1913,5300,26.52,73.48
484014096,3753,12129,23.63,76.37
484014097,140839,149116,48.57,51.43
484014098,200099,235185,45.97,54.03
484014099,1351,5526,19.65,80.35
484014100,6606,19691,25.12,74.88
484014101,139691,182400,43.37,56.63
484014102,1406,3364,29.48,70.52
484014103,1857,4624,28.65,71.35
484014104,694,3710,15.76,84.24
484014105,4694,10265,31.38,68.62
484014106,631,2596,19.55,80.45
484014107,1443,3257,30.7,69.3
484014108,7894,19556,28.76,71.24
484014109,4134,8644,32.35,67.65
484014110,2257,7482,23.17,76.83
484014111,1892,2802,40.31,59.69
484014112,1243,3650,25.4,74.6
484014113,2866,8537,25.13,74.87
484014114,3774,8834,29.93,70.07
484014115,559,3664,13.24,86.76
484014116,3568,9154,28.05,71.95
484014117,618,1993,23.67,76.33
484014118,4199,12634,24.95,75.05
484014119,5053,14943,25.27,74.73
484014120,430674,493404,46.61,53.39
484014121,7350,13533,35.2,64.8
484014122,1080,4217,20.39,79.61
484014123,3183,9650,24.8,75.2
484014124,16328,30148,35.13,64.87
484015001,7226,35342,16.98,83.02
484015002,35448,61714,36.48,63.52
484015003,7392,24543,23.15,76.85
484015004,1341,8774,13.26,86.74
484015005,38499,65911,36.87,63.13
484015006,2764,5714,32.6,67.4
484015007,2971,12296,19.46,80.54
484015008,2513,16105,13.5,86.5
484015009,10459,25328,29.23,70.77
484015010,6461,12813,33.52,66.48
484015011,1201017,2066496,36.76,63.24
484015012,2532,5205,32.73,67.27
484015013,135470,227162,37.36,62.64
484015014,20608,47854,30.1,69.9
484015015,4020,16618,19.48,80.52
484015016,4745,13651,25.79,74.21
484015017,2004,4722,29.79,70.21
484015018,11364,22543,33.52,66.48
484015019,7723,15327,33.51,66.49
484015020,91962,129621,41.5,58.5
484015021,6254,18948,24.82,75.18
484015022,3351,6417,34.31,65.69
484015023,9750,18085,35.03,64.97
484015024,381828,565129,40.32,59.68
484015025,160711,323974,33.16,66.84
484015026,5200,14386,26.55,73.45
484015027,2706,5231,34.09,65.91
484015028,6758,12077,35.88,64.12
484015029,52224,74735,41.13,58.87
484015030,5308,12383,30.0,70.0
484015031,3172,19435,14.03,85.97
484015032,1162,4934,19.06,80.94
484015033,25671,42153,37.85,62.15
484015034,7798,20861,27.21,72.79
484015035,75005,102907,42.16,57.84
484015036,2044,4891,29.47,70.53
484015037,132615,211903,38.49,61.51
484015038,6293,17675,26.26,73.74
484015039,348,4394,7.34,92.66
484015040,23046,80475,22.26,77.74
484015041,4920,14237,25.68,74.32
484015042,10274,16191,38.82,61.18
484015043,14879,45248,24.75,75.25
484015044,4702,8246,36.31,63.69
484015045,9549,38325,19.95,80.05
484015046,12010,32845,26.78,73.22
484015047,2182,7032,23.68,76.32
484015048,4889,12694,27.81,72.19
484015049,34111,60057,36.22,63.78
484015050,3644,15227,19.31,80.69
484015051,13421,22418,37.45,62.55
484015052,72284,94579,43.32,56.68
484015053,2356,4577,33.98,66.02
484015054,3196,16815,15.97,84.03
484015055,213841,366240,36.86,63.14
484015056,8453,14637,36.61,63.39
484015057,103074,166679,38.21,61.79
484015058,1804,4430,28.94,71.06
484015059,17246,27235,38.77,61.23
484015060,3599,18110,16.58,83.42
484015061,4919,17586,21.86,78.14
484015062,7678,17218,30.84,69.16
484015063,358,3175,10.13,89.87
484015064,17753,37678,32.03,67.97
484015065,5011,15836,24.04,75.96
484015066,1083,1926,35.99,64.01
484015067,67255,127292,34.57,65.43
484015068,2442,7137,25.49,74.51
484015069,3053,5940,33.95,66.05
484015070,4596,9842,31.83,68.17
484015071,26514,114401,18.82,81.18
484015072,6232,12380,33.48,66.52
484015073,18529,32380,36.4,63.6
484015074,736,3674,16.69,83.31
484015075,1539,5640,21.44,78.56
484015076,2139,6675,24.27,75.73
484015077,1365,15999,7.86,92.14
484015078,108041,153460,41.32,58.68
484015079,10340,58086,15.11,84.89
484015080,2433,4906,33.15,66.85
484015081,7547,16626,31.22,68.78
484015082,6881,38973,15.01,84.99
484015083,3146,19837,13.69,86.31
484015084,16547,45883,26.5,73.5
484015085,19376,42381,31.37,68.63
484015086,2557,5402,32.13,67.87
484015087,17274,38354,31.05,68.95
484015088,17532,27924,38.57,61.43
484015089,13291,24918,34.78,65.22
484015090,6455,13028,33.13,66.87
484015091,3580,10006,26.35,73.65
484015092,8108,17574,31.57,68.43
484015093,1822,9286,16.4,83.6
484015094,1111,2584,30.07,69.93
484015095,8642,17330,33.27,66.73
484015096,15510,35037,30.68,69.32
484015097,2331,8040,22.48,77.52
484015098,9664,22784,29.78,70.22
484015099,2880,22593,11.31,88.69
484015100,244768,368196,39.93,60.07
484015101,2523,6936,26.67,73.33
484015102,20422,42079,32.67,67.33
484015103,14842,28720,34.07,65.93
484015104,6426,26372,19.59,80.41
484015105,6294,22897,21.56,78.44
484015106,13595,29753,31.36,68.64
484015107,16361,46621,25.98,74.02
484015108,11628,21087,35.54,64.46
484015109,723,2112,25.5,74.5
484015110,1241,10158,10.89,89.11
484015111,39884,78918,33.57,66.43
484015112,1199,9822,10.88,89.12
484015113,40674,72465,35.95,64.05
484016001,1306,5731,18.56,81.44
484016002,2640,8555,23.58,76.42
484016003,2479,12649,16.39,83.61
484016004,12330,70138,14.95,85.05
