GEOLEV2,OWNED_HH,UNOWNED_HH,OWNED_UK_HH,OWNED_PCT,UNOWNED_PCT,OWNED_UK_PCT
484014086,14707,3257,140,81.24,17.99,0.77
484014087,11924,5350,18,68.96,30.94,0.1
484014088,11415,5659,69,66.59,33.01,0.4
484014089,2339,1169,3,66.62,33.3,0.09
484014090,4476,2254,0,66.51,33.49,0.0
484014091,27416,13616,280,66.36,32.96,0.68
484014092,8417,2457,28,77.21,22.54,0.26
484014093,73471,61782,317,54.19,45.57,0.23
484014094,25713,13596,62,65.31,34.53,0.16
484014095,7123,2386,12,74.81,25.06,0.13
484014096,16958,5146,104,76.36,23.17,0.47
484014097,258706,152782,5717,62.01,36.62,1.37
484014098,411018,189904,4304,67.91,31.38,0.71
484014099,7922,1438,12,84.53,15.34,0.13
484014100,28527,7239,0,79.76,20.24,0.0
484014101,305909,155851,1313,66.06,33.66,0.28
484014102,4714,1666,16,73.7,26.05,0.25
484014103,6518,1928,24,76.95,22.76,0.28
484014104,3790,1710,4,68.86,31.07,0.07
484014105,14139,6830,8,67.4,32.56,0.04
484014106,3435,771,4,81.59,18.31,0.1
484014107,4533,1952,23,69.65,29.99,0.35
484014108,23860,11890,78,66.6,33.19,0.22
484014109,13671,4558,36,74.85,24.95,0.2
484014110,8808,4191,0,67.76,32.24,0.0
484014111,3466,2676,0,56.43,43.57,0.0
484014112,4750,1528,0,75.66,24.34,0.0
484014113,11483,3548,35,76.22,23.55,0.23
484014114,12422,4507,126,72.83,26.43,0.74
484014115,3521,2038,65,62.61,36.24,1.16
484014116,12172,5612,50,68.25,31.47,0.28
484014117,1969,1348,0,59.36,40.64,0.0
484014118,13662,8184,66,62.35,37.35,0.3
484014119,16996,10203,58,62.35,37.43,0.21
484014120,868568,361078,8553,70.15,29.16,0.69
484014121,19152,9186,0,67.58,32.42,0.0
484014122,5750,1418,0,80.22,19.78,0.0
484014123,13486,4300,0,75.82,24.18,0.0
484014124,40148,24386,126,62.09,37.71,0.19
484015001,55828,4121,123,92.94,6.86,0.2
484015002,107409,24785,333,81.05,18.7,0.25
484015003,40515,3224,206,92.19,7.34,0.47
484015004,12428,1896,20,86.64,13.22,0.14
484015005,124048,18398,1705,86.05,12.76,1.18
484015006,9737,1875,12,83.77,16.13,0.1
484015007,19134,2282,193,88.55,10.56,0.89
484015008,21440,3244,25,86.77,13.13,0.1
484015009,35215,14162,434,70.7,28.43,0.87
484015010,22964,2843,75,88.73,10.98,0.29
484015011,2948964,1339353,26002,68.35,31.04,0.6
484015012,8343,2640,24,75.8,23.98,0.22
484015013,373416,113831,2632,76.23,23.24,0.54
484015014,79519,14323,308,84.46,15.21,0.33
484015015,23215,4643,30,83.24,16.65,0.11
484015016,20938,4211,181,82.66,16.62,0.71
484015017,7411,1883,12,79.64,20.23,0.13
484015018,40739,6170,96,86.67,13.13,0.2
484015019,26010,5427,90,82.5,17.21,0.29
484015020,219861,58056,798,78.88,20.83,0.29
484015021,30257,6146,0,83.12,16.88,0.0
484015022,10390,2694,28,79.24,20.55,0.21
484015023,32320,5600,0,85.23,14.77,0.0
484015024,956306,294068,4214,76.22,23.44,0.34
484015025,459669,201879,2328,69.24,30.41,0.35
484015026,26130,1495,30,94.49,5.41,0.11
484015027,9453,1541,36,85.7,13.97,0.33
484015028,21562,4146,193,83.25,16.01,0.75
484015029,130008,44109,724,74.36,25.23,0.41
484015030,21343,2663,73,88.64,11.06,0.3
484015031,29929,3291,86,89.86,9.88,0.26
484015032,8082,464,0,94.57,5.43,0.0
484015033,81859,17094,621,82.21,17.17,0.62
484015034,35642,3228,104,91.45,8.28,0.27
484015035,195128,43739,3766,80.42,18.03,1.55
484015036,8092,1321,17,85.81,14.01,0.18
484015037,357106,108781,2142,76.3,23.24,0.46
484015038,25490,8604,112,74.52,25.15,0.33
484015039,6298,390,42,93.58,5.79,0.62
484015040,132225,9163,217,93.38,6.47,0.15
484015041,23929,3078,24,88.52,11.39,0.09
484015042,29760,5390,25,84.61,15.32,0.07
484015043,71050,11570,332,85.65,13.95,0.4
484015044,16166,1329,22,92.29,7.59,0.13
484015045,64693,3858,131,94.19,5.62,0.19
484015046,53905,6459,233,88.96,10.66,0.38
484015047,10174,2427,62,80.34,19.17,0.49
484015048,18814,4842,10,79.5,20.46,0.04
484015049,117550,16658,541,87.24,12.36,0.4
484015050,23194,3316,50,87.33,12.48,0.19
484015051,41777,7859,338,83.6,15.73,0.68
484015052,165519,47974,1108,77.13,22.35,0.52
484015053,7831,1411,44,84.33,15.19,0.47
484015054,25647,2506,63,90.9,8.88,0.22
484015055,511348,304530,13938,61.62,36.7,1.68
484015056,24604,10290,200,70.11,29.32,0.57
484015057,291976,72385,946,79.93,19.81,0.26
484015058,7778,602,135,91.34,7.07,1.59
484015059,55833,5218,156,91.22,8.53,0.25
484015060,27984,2598,86,91.25,8.47,0.28
484015061,30728,1879,140,93.83,5.74,0.43
484015062,27623,5969,0,82.23,17.77,0.0
484015063,4191,655,5,86.39,13.5,0.1
484015064,72523,6917,579,90.63,8.64,0.72
484015065,21601,6205,16,77.64,22.3,0.06
484015066,3403,662,46,82.78,16.1,1.12
484015067,163534,89358,934,64.43,35.2,0.37
484015068,10649,1751,34,85.64,14.08,0.27
484015069,10242,1981,0,83.79,16.21,0.0
484015070,18354,3510,90,83.6,15.99,0.41
484015071,199895,9927,796,94.91,4.71,0.38
484015072,21265,3316,100,86.16,13.44,0.41
484015073,59713,11270,567,83.46,15.75,0.79
484015074,5838,426,46,92.52,6.75,0.73
484015075,8112,1848,36,81.15,18.49,0.36
484015076,10680,990,33,91.26,8.46,0.28
484015077,22284,2397,78,90.0,9.68,0.32
484015078,291642,71242,1656,80.0,19.54,0.45
484015079,77724,20421,185,79.04,20.77,0.19
484015080,7323,3234,34,69.14,30.54,0.32
484015081,28739,5275,394,83.52,15.33,1.15
484015082,59499,2665,266,95.31,4.27,0.43
484015083,28746,3598,72,88.68,11.1,0.22
484015084,82015,8804,180,90.13,9.67,0.2
484015085,73436,15715,490,81.92,17.53,0.55
484015086,8904,1999,32,81.43,18.28,0.29
484015087,60765,15444,105,79.62,20.24,0.14
