GEOLEV2,RURAL_HH,URBAN_HH,RURAL_PCT,URBAN_PCT
484011019,33792,15659,68.33,31.67
484011020,53875,1662938,3.14,96.86
484011021,7715,39497,16.34,83.66
484011022,16697,8052,67.47,32.53
484011023,89120,65449,57.66,42.34
484011024,8483,3908,68.46,31.54
484011025,26724,56961,31.93,68.07
484011026,33516,32218,50.99,49.01
484011027,54520,218429,19.97,80.03
484011028,27506,66509,29.26,70.74
484011029,31638,9408,77.08,22.92
484011030,67023,52559,56.05,43.95
484011031,31374,99207,24.03,75.97
484011032,68745,20761,76.8,23.2
484011033,61681,66749,48.03,51.97
484011034,5719,0,100.0,0.0
484011035,24739,57556,30.06,69.94
484011036,3193,3517,47.59,52.41
484011037,37805,165217,18.62,81.38
484011038,6246,5052,55.28,44.72
484011039,17338,18507,48.37,51.63
484011040,20007,0,100.0,0.0
484011041,9205,52240,14.98,85.02
484011042,70648,77979,47.53,52.47
484011043,18642,2606,87.74,12.26
484011044,16157,49610,24.57,75.43
484011045,11136,0,100.0,0.0
484011046,39094,29630,56.89,43.11
484012001,82471,694050,10.62,89.38
484012002,21486,3462,86.12,13.88
484012003,24516,12771,65.75,34.25
484012004,18122,2976,85.89,14.11
484012005,3413,4301,44.24,55.76
484012006,3988,7124,35.89,64.11
484012007,9797,23459,29.46,70.54
484012008,5992,3157,65.49,34.51
484012009,5709,0,100.0,0.0
484012010,22073,6346,77.67,22.33
484012011,17316,43339,28.55,71.45
484012012,39487,29509,57.23,42.77
484012013,20477,16438,55.47,44.53
484012014,8649,6775,56.07,43.93
484012015,5216,7762,40.19,59.81
484012016,12408,0,100.0,0.0
484012017,11259,4320,72.27,27.73
484012018,8268,6195,57.17,42.83
484012019,7593,7910,48.98,51.02
484012020,18028,3406,84.11,15.89
484012021,42480,30444,58.25,41.75
484012022,29152,9287,75.84,24.16
484012023,12577,14051,47.23,52.77
484012024,7808,0,100.0,0.0
484012025,13237,3782,77.78,22.22
484012026,8273,0,100.0,0.0
484012027,16162,4375,78.7,21.3
484012028,70029,71375,49.52,50.48
484012029,25461,255359,9.07,90.93
484012030,8407,13778,37.89,62.11
484012031,6259,0,100.0,0.0
484012032,26302,10897,70.71,29.29
484012033,9468,8011,54.17,45.83
484012034,15245,21247,41.78,58.22
484012035,11611,141857,7.57,92.43
484012036,7450,4288,63.47,36.53
484012037,6138,0,100.0,0.0
484012038,37348,114672,24.57,75.43
484012039,14643,11390,56.25,43.75
484012040,15020,11329,57.0,43.0
484012041,40942,0,100.0,0.0
484012042,9159,9454,49.21,50.79
484012043,32187,7684,80.73,19.27
484012044,7144,5257,57.61,42.39
484012045,17677,10604,62.5,37.5
484012046,18160,49739,26.75,73.25
484012047,7078,0,100.0,0.0
484012048,13799,30751,30.97,69.03
484012049,7978,4768,62.59,37.41
484012050,10513,27804,27.44,72.56
484012051,26490,9623,73.35,26.65
484012052,22697,23213,49.44,50.56
484012053,26525,23596,52.92,47.08
484012054,19702,4437,81.62,18.38
484012055,31301,74129,29.69,70.31
484012056,38373,7690,83.31,16.69
484012057,37327,27744,57.36,42.64
484012058,27723,26087,51.52,48.48
484012059,23369,7382,75.99,24.01
484012060,13546,0,100.0,0.0
484012061,6154,36687,14.36,85.64
484012062,16997,5612,75.18,24.82
484012063,9976,0,100.0,0.0
484012064,7556,4126,64.68,35.32
484012065,5264,2323,69.38,30.62
484012066,31327,64104,32.83,67.17
484012067,11730,10349,53.13,46.87
484012068,7421,4467,62.42,37.58
484012069,1878,5984,23.89,76.11
484012070,19618,10048,66.13,33.87
484012071,48745,2702,94.75,5.25
484012072,13599,3594,79.1,20.9
484012073,9344,12590,42.6,57.4
484012074,6353,46715,11.97,88.03
484013001,22267,0,100.0,0.0
484013002,27597,18462,59.92,40.08
