GEOLEV2,INDIG_YES_POP,INDIG_NO_POP,INDIG_UK_POP,INDIG_YES_PCT,INDIG_NO_PCT,INDIGS_UK_PCT
484014104,86,3879,2,2.17,97.78,0.05
484014105,1097,21176,72,4.91,94.77,0.32
484014106,529,3817,0,12.17,87.83,0.0
484014107,510,5797,13,8.07,91.72,0.21
484014108,22697,12808,23,63.88,36.05,0.06
484014109,577,17321,44,3.22,96.54,0.25
484014110,2160,10953,0,16.47,83.53,0.0
484014111,49,6229,18,0.78,98.94,0.29
484014112,61,5771,8,1.04,98.82,0.14
484014113,1329,13222,5,9.13,90.84,0.03
484014114,927,16767,47,5.23,94.51,0.26
484014115,761,4441,10,14.6,85.21,0.19
484014116,827,18001,63,4.38,95.29,0.33
484014117,108,4090,0,2.57,97.43,0.0
484014118,282,20968,40,1.32,98.49,0.19
484014119,1710,26633,24,6.03,93.89,0.08
484014120,117902,1287542,7825,8.34,91.1,0.55
484014121,3739,27700,10,11.89,88.08,0.03
484014122,3652,3409,6,51.68,48.24,0.08
484014123,4005,14237,7,21.95,78.02,0.04
484014124,3035,57829,154,4.97,94.77,0.25
484015001,39774,24228,272,61.88,37.69,0.42
484015002,10553,148891,69,6.62,93.34,0.04
484015003,25261,20927,186,54.47,45.13,0.4
484015004,2532,11786,39,17.64,82.09,0.27
484015005,36691,123618,350,22.84,76.94,0.22
484015006,1689,10356,4,14.02,85.95,0.03
484015007,11752,10463,98,52.67,46.89,0.44
484015008,829,22964,80,3.47,96.19,0.34
484015009,2738,48110,173,5.37,94.29,0.34
484015010,8053,22294,90,26.46,73.25,0.3
484015011,374608,3847562,37906,8.79,90.32,0.89
484015012,2004,10304,20,16.26,83.58,0.16
484015013,37089,463601,3540,7.36,91.94,0.7
484015014,68624,34332,240,66.5,33.27,0.23
484015015,1755,28321,138,5.81,93.73,0.46
484015016,960,26842,64,3.45,96.33,0.23
484015017,521,8938,2,5.51,94.47,0.02
484015018,10011,55168,19,15.35,84.62,0.03
484015019,3608,31511,115,10.24,89.43,0.33
484015020,26454,256071,1365,9.32,90.2,0.48
484015021,1223,34594,162,3.4,96.15,0.45
484015022,1386,13080,47,9.55,90.13,0.32
484015023,1088,37728,170,2.79,96.77,0.44
484015024,84843,1210139,6192,6.52,93.0,0.48
484015025,103484,643531,3932,13.78,85.7,0.52
484015026,25840,4145,25,86.1,13.81,0.08
484015027,641,11599,8,5.23,94.7,0.07
484015028,3752,24800,84,13.1,86.6,0.29
484015029,20484,169699,1677,10.68,88.45,0.87
484015030,3410,22846,109,12.93,86.65,0.41
484015031,17559,16720,174,50.97,48.53,0.51
484015032,662,9507,13,6.5,93.37,0.13
484015033,13865,141116,405,8.92,90.82,0.26
484015034,9803,34689,102,21.98,77.79,0.23
484015035,34041,237157,1791,12.47,86.87,0.66
484015036,3065,8188,12,27.21,72.69,0.11
484015037,68115,448344,2366,13.13,86.42,0.46
484015038,2252,32587,145,6.44,93.15,0.41
484015039,2047,3988,15,33.83,65.92,0.25
484015040,105794,44326,916,70.05,29.35,0.61
484015041,6364,22579,51,21.95,77.87,0.18
484015042,5210,36016,203,12.58,86.93,0.49
484015043,9726,73567,399,11.62,87.9,0.48
484015044,1639,17292,42,8.64,91.14,0.22
484015045,53953,18558,240,74.16,25.51,0.33
484015046,42411,23661,134,64.06,35.74,0.2
484015047,1911,12585,87,13.1,86.3,0.6
484015048,485,25112,27,1.89,98.0,0.11
