GEOLEV2,INT_NO_HH,INT_YES_HH,INT_UK_HH,INT_NO_PCT,INT_YES_PCT,INT_UK_PCT
484012041,38501,2244,0,94.49,5.51,0.0
484012042,15055,3514,0,81.08,18.92,0.0
484012043,35474,4195,3,89.42,10.57,0.01
484012044,7916,4467,0,63.93,36.07,0.0
484012045,23095,5097,0,81.92,18.08,0.0
484012046,54657,13168,0,80.59,19.41,0.0
484012047,6691,387,0,94.53,5.47,0.0
484012048,25486,18828,12,57.5,42.48,0.03
484012049,9855,2891,0,77.32,22.68,0.0
484012050,22189,15995,0,58.11,41.89,0.0
484012051,33209,2888,0,92.0,8.0,0.0
484012052,42728,3099,0,93.24,6.76,0.0
484012053,41776,8310,0,83.41,16.59,0.0
484012054,21883,2221,3,90.77,9.21,0.01
484012055,65845,39481,0,62.52,37.48,0.0
484012056,43635,2404,0,94.78,5.22,0.0
484012057,49495,15271,8,76.41,23.58,0.01
484012058,34413,19369,0,63.99,36.01,0.0
484012059,25696,5025,0,83.64,16.36,0.0
484012060,11822,1716,0,87.32,12.68,0.0
484012061,25183,17538,0,58.95,41.05,0.0
484012062,20281,2272,0,89.93,10.07,0.0
484012063,8872,1081,0,89.14,10.86,0.0
484012064,9535,2147,0,81.62,18.38,0.0
484012065,6582,997,8,86.75,13.14,0.11
484012066,59695,34620,0,63.29,36.71,0.0
484012067,16719,5315,0,75.88,24.12,0.0
484012068,11044,836,5,92.92,7.03,0.04
484012069,6854,1006,0,87.2,12.8,0.0
484012070,27896,1736,8,94.12,5.86,0.03
484012071,49228,2154,4,95.8,4.19,0.01
484012072,13559,3557,0,79.22,20.78,0.0
484012073,20247,1678,0,92.35,7.65,0.0
484012074,31703,21289,14,59.81,40.16,0.03
484013001,15254,6954,0,68.69,31.31,0.0
484013002,41683,4281,6,90.67,9.31,0.01
484013003,30715,30057,14,50.53,49.45,0.02
484013004,9095,1212,0,88.24,11.76,0.0
484013005,8927,9871,0,47.49,52.51,0.0
484013006,16293,2832,0,85.19,14.81,0.0
484013007,9127,3395,0,72.89,27.11,0.0
484013008,21887,24625,14,47.04,52.93,0.03
484013009,13767,6032,0,69.53,30.47,0.0
484013010,14197,17203,0,45.21,54.79,0.0
484013011,18116,1667,0,91.57,8.43,0.0
484013012,24063,6019,0,79.99,20.01,0.0
484013013,33604,28816,0,53.84,46.16,0.0
484013014,14552,1527,0,90.5,9.5,0.0
484013015,13761,5464,0,71.58,28.42,0.0
484013016,42784,17573,24,70.86,29.1,0.04
484013017,10194,2763,0,78.68,21.32,0.0
484013018,18376,4481,0,80.4,19.6,0.0
484013019,27708,14648,28,65.37,34.56,0.07
484013020,2213,380,0,85.35,14.65,0.0
484013021,8836,6273,4,58.47,41.51,0.03
484013022,9960,6288,3,61.29,38.69,0.02
484013023,21685,14346,36,60.12,39.78,0.1
484013024,12597,4890,20,71.95,27.93,0.11
484013025,18398,2244,0,89.13,10.87,0.0
484013026,12337,424,3,96.65,3.32,0.02
484013027,20572,2061,0,90.89,9.11,0.0
484013028,101562,25051,15,80.21,19.78,0.01
484013029,30733,16413,0,65.19,34.81,0.0
484013030,62047,35741,0,63.45,36.55,0.0
484013031,8896,3315,0,72.85,27.15,0.0
484013032,9540,705,0,93.12,6.88,0.0
484013033,2100,793,0,72.59,27.41,0.0
484013034,9133,337,0,96.44,3.56,0.0
484013035,9169,3888,0,70.22,29.78,0.0
484013036,7716,1720,0,81.77,18.23,0.0
484013037,14646,6296,0,69.94,30.06,0.0
484013038,5856,2985,12,66.15,33.72,0.14
484013039,7649,6647,0,53.5,46.5,0.0
484013040,8715,1103,0,88.77,11.23,0.0
484013041,24983,22106,0,53.05,46.95,0.0
484013042,9860,1529,6,86.53,13.42,0.05
484013043,4545,1619,2,73.71,26.26,0.03
484013044,13850,3063,24,81.77,18.08,0.14
484013045,7224,2070,0,77.73,22.27,0.0
484013046,35603,2866,0,92.55,7.45,0.0
484013047,2873,1908,0,60.09,39.91,0.0
484013048,98378,213246,0,31.57,68.43,0.0
484013049,16306,2372,0,87.3,12.7,0.0
484013050,52834,148386,0,26.26,73.74,0.0
484013051,23331,15306,0,60.39,39.61,0.0
484013052,14070,3528,0,79.95,20.05,0.0
484013053,23764,12923,0,64.77,35.23,0.0
484013054,13537,4780,0,73.9,26.1,0.0
484013055,20255,19217,27,51.28,48.65,0.07
