GEOLEV2,EMPLOYED_POP,UNEMPLOYED_POP,EMP_IN_POP,EMP_UK_POP,EMPLOYED_PCT,UNEMPLOYED_PCT,EMP_IN_PCT,EMP_UK_PCT
484007101,12463,2145,16804,162,39.47,6.79,53.22,0.51
484007102,10172,1486,10797,94,45.11,6.59,47.88,0.42
484007103,6658,492,5668,7,51.91,3.84,44.19,0.05
484007104,4733,984,6423,66,38.78,8.06,52.62,0.54
484007105,23872,3465,20771,84,49.54,7.19,43.1,0.17
484007106,28495,3444,28568,346,46.83,5.66,46.95,0.57
484007107,35271,9380,39049,269,42.0,11.17,46.5,0.32
484007108,10107,3727,14338,50,35.81,13.21,50.8,0.18
484007109,2656,125,2493,24,50.13,2.36,47.06,0.45
484007110,14198,3060,14742,108,44.22,9.53,45.91,0.34
484008001,6563,689,3709,7,59.84,6.28,33.82,0.06
484008002,10385,2056,8223,4,50.25,9.95,39.79,0.02
484008003,3307,536,3056,26,47.75,7.74,44.13,0.38
484008004,8748,1450,5976,78,53.83,8.92,36.77,0.48
484008005,9852,2050,8151,146,48.77,10.15,40.35,0.72
484008006,2364,332,2010,4,50.19,7.05,42.68,0.08
484008007,21990,9269,24742,204,39.12,16.49,44.02,0.36
484008008,5668,4595,7597,70,31.61,25.63,42.37,0.39
484008009,8645,2484,8159,60,44.68,12.84,42.17,0.31
484008010,18680,3291,18049,122,46.53,8.2,44.96,0.3
484008011,2109,952,2853,14,35.58,16.06,48.13,0.24
484008012,4710,552,3919,20,51.19,6.0,42.59,0.22
484008013,788,126,714,13,48.02,7.68,43.51,0.79
484008014,501,73,434,18,48.83,7.12,42.3,1.75
484008015,1213,289,1490,7,40.45,9.64,49.68,0.23
484008016,71382,12318,58272,311,50.17,8.66,40.95,0.22
484008017,1828,405,1860,13,44.52,9.86,45.3,0.32
484008018,436511,39283,288839,1567,56.97,5.13,37.7,0.2
484008019,1639,809,2315,8,34.35,16.96,48.52,0.17
484008020,66022,7863,45067,105,55.45,6.6,37.85,0.09
484008021,860,215,1050,26,39.98,10.0,48.81,1.21
484008022,2156,243,2304,34,45.51,5.13,48.64,0.72
484008023,1560,240,1385,13,48.78,7.5,43.31,0.41
484008024,2703,517,2416,31,47.7,9.12,42.63,0.55
484008025,874,278,927,14,41.76,13.28,44.29,0.67
484008026,1524,403,1397,9,45.72,12.09,41.91,0.27
484008027,13083,4839,17269,185,36.98,13.68,48.82,0.52
484008028,1941,608,3219,13,33.58,10.52,55.68,0.22
